userIDs,implementation,Line_ID,ChatGroup,content,group_id,RoleName,roomName,m_experimental_testing,m_making_design_choices,m_asking_questions,j_customer_consultants_requests,j_performance_parameters_requirements,j_communication,OutcomeScore,wordCount
1,a,1,PRNLT,Hello team. Welcome to Nephrotex!,2,Mentor,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,4,5
1,a,2,PRNLT,I'm Maria Williams. I'll be your design advisor for your internship.,2,Mentor,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,4,11
1,a,3,PRNLT,I'm here to help if you have any questions.,2,Mentor,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,4,9
1,a,4,PRNLT,"Please introduce yourselves with the name you prefer to be called. WorkPro records all the work we do, and we review it with an external consultant to improve the quality of our internship program. So we ask you to use your first name only during this internship to protect your privacy.",2,Mentor,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,1,0,0,4,51
1,a,5,PRNLT,"I just want to make sure everyone has found the chat interface. Please send a chat to ""check in"" with the group. You can make your chat window bigger by clicking the + icon in the top right corner.",2,Mentor,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,4,39
2,a,6,PRNLT,Hello I am Brandon!,2,Player,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,4,4
3,a,7,PRNLT,I am Zelin,2,Player,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,4,3
3,a,8,PRNLT,Hi,2,Player,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,4,1
4,a,9,PRNLT,i am jack,2,Player,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,4,3
5,a,10,PRNLT,Hey! I'm Rachel!,2,Player,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,2,3
6,a,11,PRNLT,I am Royce,2,Player,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,2,3
1,a,12,PRNLT,"If you haven't already, please check your email.",2,Mentor,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,4,8
1,a,13,PRNLT,"Throughout your time at Nephrotex, you'll be receiving emails from our boss, Alex. He'll send you instructions about what to work on throughout the course of your internship.",2,Mentor,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,4,28
1,a,14,PRNLT,"Now, please check your Deliverable List on the bottom right corner of WorkPro.",2,Mentor,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,4,13
1,a,15,PRNLT,"Deliverables that have been assigned to you will show up in this list. You will be able to check to see the original email with the instructions Alex sent to you, whether you have submitted that deliverable, and whether Vedant has approved that deliverable.",2,Mentor,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,4,44
1,a,16,PRNLT,"For more detailed information about the Deliverable List, click the info button in the top right corner of the Deliverables List tab.",2,Mentor,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,4,22
1,a,17,PRNLT,"I have provided a summary of the workflow resource in the shared space. Plagiarism is not tolerated, so make sure to paraphrase the summary in your notebook entry.",2,Mentor,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,1,1,4,28
2,a,18,PRNLT,Is it imperative to know the answers to the questions in the interview?,2,Player,Introduction and Workflow Tutorial with Entrance Interview,0,0,1,0,0,0,4,13
1,a,19,PRNLT,"If you're done with your notebook entry, submit it to Alex by clicking the submit button (middle of the notebook window).",2,Mentor,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,1,4,21
1,a,20,PRNLT,"You won't be able to edit your entry once you've submitted it, but if you need to update or correct your work, you can cancel your submission by clicking the ""x"" in the Deliverables List.",2,Mentor,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,4,35
1,a,21,PRNLT,"You can only cancel submissions before Alex has viewed them, so make sure you have included everything that is required before submitting.",2,Mentor,Introduction and Workflow Tutorial with Entrance Interview,0,0,0,0,0,0,4,22
1,a,22,PRNLT,"As soon as you submit a notebook to Alex he will review it and then send feedback as soon as he can. While you are waiting, you should assist any of your teammates who have not submitted their deliverable. Your team will not be able to move on to the next task until each of your team members' notebooks have been witnessed.",2,Mentor,Introduction and Workflow Tutorial with Entrance Interview,0,1,0,0,0,0,4,62
1,a,23,PRNLT,"Back when I was an undergrad, I interned at a mechanical engineering company that designed exoskeletons for rescue workers. You are working on a different project, but I have put an example of the summary I used for my previous project in the shared space. Alex is pretty similar to my boss at the internship, so you're welcome to use this as a template to write your own.  Note the language and the length of the response.",2,Mentor,Background research on dialysis,0,0,0,0,0,1,4,77
1,a,24,PRNLT,Please pay close attention to the citation methods used in my example. I know Alex will be a stickler for following correct citation methods.,2,Mentor,Background research on dialysis,0,1,0,0,0,0,4,24
7,a,25,PRNLT,what citation method do we use to site our sources. nothing was specified....,2,Player,Background research on dialysis,0,0,0,0,0,0,5,13
1,a,26,PRNLT,"Once Alex receives your notebook you should receive an email with feedback shortly thereafter. I recommend completing any notebook revisions or helping your teammates finish their deliverables while you wait for his feedback. As soon as all of your team's deliverables have been submitted and witnessed, you can get started on the next task.",2,Mentor,Background research on dialysis,0,1,0,0,0,0,4,54
7,a,27,PRNLT,i can not access a new notebook to complete my assignment,2,Player,Background research on dialysis,0,0,0,0,0,0,5,11
1,a,28,PRNLT,"I posted another notebook entry from my old internship in the shared space. In my internship we studied control sensors and power sources, but you're looking at surfactants. Nevertheless, you're welcome to use the example to model your own response after.",2,Mentor,Graphing Surfactant Data,1,0,0,0,0,0,4,41
1,a,29,PRNLT,"After you've submitted a notebook and are waiting for feedback from Alex, you should help any of your teammates who haven't submitted their deliverable yet. You could also wrap up notebook revisions you didn't have time to finish earlier. If you still have time before your team meeting, you may want to start working on the final presentation that you will be giving at the end of the internship. You can find an outline of what Alex expects from your presentations in the resource section of Workpro. I recommend that you start working on the background research section of the presentation now.",2,Mentor,Graphing Surfactant Data,0,1,0,0,0,0,4,102
2,a,30,PRNLT,Where do we go to start the discussion,2,Player,Reflection team discussion of surfactants,0,0,0,0,0,0,4,8
2,a,31,PRNLT,Where do we go to start the discussion?,2,Player,Reflection team discussion of surfactants,0,0,1,0,0,0,4,8
1,a,32,PRNLT,"Based on your surfactant graph, how did the surfactants perform relative to one another?",2,Mentor,Reflection team discussion of surfactants,0,0,1,0,1,0,4,14
3,a,33,PRNLT,Is that mean which two or more are relative?,2,Player,Reflection team discussion of surfactants,0,0,1,0,0,0,4,9
1,a,34,PRNLT,Was there one surfactant that was obviously the best choice?,2,Mentor,Reflection team discussion of surfactants,0,0,1,0,0,0,4,10
3,a,35,PRNLT,"In my table and pattern, Biological surfactant is",2,Player,Reflection team discussion of surfactants,0,0,0,0,0,0,4,8
3,a,36,PRNLT,the best i think,2,Player,Reflection team discussion of surfactants,0,0,0,0,0,0,4,4
1,a,37,PRNLT,Was there one surfactant that performed well for every attribute?,2,Mentor,Reflection team discussion of surfactants,0,0,1,0,0,0,4,10
7,a,38,PRNLT,It was best but had the highest cost,2,Player,Reflection team discussion of surfactants,0,0,0,0,0,0,5,8
7,a,39,PRNLT,Steric Hindering performed well and had a cost less than biological,2,Player,Reflection team discussion of surfactants,0,0,0,0,0,0,5,11
3,a,40,PRNLT,"If the surfactant is more focus on the cost rank and marketability, it is hard to make sure other three quality. No one performed well for everything",2,Player,Reflection team discussion of surfactants,0,0,0,0,0,0,4,27
2,a,41,PRNLT,I somehow managed to miss the assignment which is obviously the bases of this discussion. I am working on it now and will attempt to join the conversation later. Sorry!,2,Player,Reflection team discussion of surfactants,0,0,0,0,0,0,4,30
6,a,42,PRNLT,Yes the most consistent one was Steric Hindering,2,Player,Reflection team discussion of surfactants,0,0,0,0,0,0,2,8
7,a,43,PRNLT,I would agree with Steric Hindering.,2,Player,Reflection team discussion of surfactants,0,0,0,0,0,0,5,6
1,a,44,PRNLT,How did you choose the best surfactant?,2,Mentor,Reflection team discussion of surfactants,0,1,1,0,0,0,4,7
7,a,45,PRNLT,Its overall performance in all 5 attributes.,2,Player,Reflection team discussion of surfactants,0,0,0,0,0,0,5,7
3,a,46,PRNLT,"If i find my chart is wrong, what should i do",2,Player,Reflection team discussion of surfactants,0,1,0,0,0,0,4,11
4,a,47,PRNLT,flux at time equals 0 did not matter as they were all teh same,2,Player,Reflection team discussion of surfactants,0,0,0,0,0,0,4,14
6,a,48,PRNLT,Yeah I prioritized flux the lowest,2,Player,Reflection team discussion of surfactants,0,0,0,0,0,0,2,6
3,a,49,PRNLT,k,2,Player,Reflection team discussion of surfactants,0,0,0,0,0,0,4,1
8,a,50,PRNLT,What are we suppose to be discussing?,2,Player,Reflection team discussion of surfactants,0,0,1,0,0,0,4,7
1,a,51,PRNLT,How were the surfactant graphs helpful in making your final surfactant choice?,2,Mentor,Reflection team discussion of surfactants,0,0,1,0,0,0,4,12
6,a,52,PRNLT,I feel if the Hydrophilic surfactant had a little better blood cell reactivity then it would be the best overall due to its high reliability.,2,Player,Reflection team discussion of surfactants,0,0,0,0,1,0,2,25
4,a,53,PRNLT,They were helpful because they showed the benefits and weaknesses very well and i agree hydrophilic is pretty good with reliability and cost,2,Player,Reflection team discussion of surfactants,0,0,0,0,1,0,4,23
